-443707.75,-1172299.90,355.39
-443706.88,-1172299.14,356.50
-443705.84,-1172298.61,357.02
-443705.63,-1172298.46,357.05
-443705.63,-1172298.28,357.31
-443705.87,-1172297.67,357.64
-443706.12,-1172297.46,357.77
-443706.28,-1172297.43,357.77
-443706.62,-1172297.46,357.66
-443707.72,-1172297.18,357.75
-443707.84,-1172297.17,357.83
-443708.10,-1172297.24,357.75
-443709.09,-1172297.18,357.79
-443709.21,-1172297.43,357.67
-443709.20,-1172297.55,357.57
-443709.33,-1172298.46,356.79
-443709.28,-1172298.69,356.64
-443709.25,-1172298.86,356.38
-443709.28,-1172299.78,355.56
-443708.97,-1172300.38,354.89
-443708.66,-1172300.35,354.89
-443708.02,-1172300.40,354.89

