-443794.991,-1172385.670,351.922,0.008
-443794.761,-1172388.150,351.882,0.008
-443734.610,-1172405.290,350.511,0.009
-443753.811,-1172398.300,350.481,0.009
-443833.100,-1172422.760,348.563,0.007
-443797.301,-1172408.669,351.952,0.008
-443776.610,-1172412.590,353.563,0.008
-443793.571,-1172407.140,351.521,0.009
-443808.400,-1172379.600,348.292,0.008
-443795.611,-1172390.790,351.981,0.009
-443795.751,-1172392.460,351.944,0.006
-443795.781,-1172392.960,351.940,0.010
-443795.931,-1172394.790,351.942,0.008
-443732.781,-1172398.910,350.562,0.008
-443732.970,-1172405.320,350.582,0.008
-443738.550,-1172403.780,350.424,0.006
-443753.580,-1172401.780,350.461,0.009
-443752.340,-1172402.840,350.462,0.008
-443758.970,-1172397.200,349.764,0.006
-443761.340,-1172400.630,349.631,0.009
-443797.540,-1172330.500,351.201,0.009
-443759.891,-1172319.510,354.615,0.005
-443829.010,-1172349.190,370.694,0.006
-443833.670,-1172350.590,370.654,0.006
-443838.151,-1172353.540,370.741,0.009
-443832.790,-1172358.090,373.221,0.009
-443835.200,-1172426.130,373.885,0.005
-443835.210,-1172423.910,373.893,0.007
-443841.471,-1172405.340,374.120,0.010
-443837.741,-1172407.640,374.161,0.009
-443848.991,-1172389.910,374.271,0.009
-443848.651,-1172378.210,374.271,0.009
-443840.781,-1172380.620,377.571,0.009
-443706.341,-1172330.380,360.840,0.010
-443761.580,-1172321.200,354.763,0.007
-443845.701,-1172425.120,374.170,0.010
-443843.020,-1172410.120,374.121,0.009
-443838.620,-1172397.130,374.314,0.006
-443836.900,-1172401.750,374.181,0.009
-443714.291,-1172332.910,360.760,0.010
-443714.270,-1172333.740,360.833,0.007
-443707.540,-1172336.700,360.891,0.009
-443706.531,-1172333.500,360.833,0.008
-443707.340,-1172326.820,360.876,0.004
-443703.730,-1172292.590,356.931,0.009
-443811.430,-1172433.230,349.343,0.007
-443807.410,-1172410.120,348.080,0.010
-443804.580,-1172410.120,348.200,0.010
-443804.540,-1172406.260,348.056,0.004
-443796.811,-1172404.010,351.862,0.008
-443793.421,-1172406.720,351.452,0.008
-443795.501,-1172404.850,351.701,0.009
-443795.791,-1172404.590,351.721,0.009
-443796.691,-1172403.779,351.871,0.009
-443793.981,-1172405.730,351.531,0.009
-443794.291,-1172405.460,351.585,0.005
-443793.511,-1172405.230,351.480,0.010
-443794.781,-1172403.600,351.644,0.006
-443796.141,-1172405.919,351.791,0.009
-443795.841,-1172405.760,351.760,0.010
-443796.730,-1172404.960,351.851,0.009
-443793.471,-1172407.380,351.453,0.007
-443793.751,-1172410.280,351.443,0.007
-443794.031,-1172410.030,351.493,0.008
-443793.811,-1172409.830,351.443,0.007
-443795.611,-1172408.210,351.712,0.008
-443793.772,-1172409.360,351.461,0.009
-443794.071,-1172409.090,351.501,0.009
-443794.671,-1172408.550,351.591,0.009
-443795.241,-1172408.040,351.661,0.009
-443793.981,-1172408.640,351.483,0.007
-443796.141,-1172408.540,351.781,0.009
-443801.460,-1172405.440,348.102,0.008
-443797.031,-1172409.410,351.896,0.004
-443791.631,-1172422.850,350.084,0.006
-443791.531,-1172422.590,350.032,0.008
-443791.420,-1172422.320,350.081,0.009
-443790.631,-1172422.190,350.011,0.009
-443731.490,-1172410.060,348.972,0.008
-443730.650,-1172409.630,348.964,0.006
-443733.990,-1172409.350,350.431,0.009
-443731.170,-1172414.400,349.004,0.006
-443737.141,-1172410.540,350.422,0.008
-443730.610,-1172415.940,349.046,0.004
-443742.230,-1172407.570,350.421,0.009
-443740.160,-1172408.420,350.384,0.006
-443737.280,-1172411.030,350.441,0.009
-443738.740,-1172411.610,350.471,0.009
-443742.060,-1172408.100,350.413,0.007
-443742.350,-1172407.840,350.391,0.009
-443745.550,-1172407.790,350.385,0.005
-443745.840,-1172408.830,350.426,0.004
-443749.191,-1172407.280,350.371,0.009
-443745.100,-1172410.510,350.452,0.008
-443746.500,-1172409.250,350.405,0.005
-443748.220,-1172407.690,350.396,0.004
-443751.231,-1172406.890,350.394,0.006
-443749.821,-1172407.770,350.364,0.006
-443751.020,-1172407.570,350.394,0.006
-443746.960,-1172410.760,350.453,0.007
-443749.071,-1172409.840,350.463,0.007
-443751.680,-1172409.020,350.421,0.009
-443753.660,-1172407.230,350.415,0.005
-443754.251,-1172406.700,350.452,0.008
-443752.921,-1172408.410,350.413,0.007
-443753.771,-1172407.640,350.412,0.008
-443751.240,-1172409.930,350.450,0.010
-443751.801,-1172409.420,350.441,0.009
-443752.501,-1172409.360,350.423,0.007
-443752.290,-1172410.240,350.451,0.009
-443789.781,-1172404.520,351.053,0.007
-443789.931,-1172404.730,351.072,0.008
-443790.101,-1172404.990,351.085,0.005
