-443851.420,-1172397.040,347.360,0.055
-443851.280,-1172408.210,357.830,0.091
-443840.070,-1172414.150,375.130,0.089
-443743.090,-1172337.610,352.920,0.052
-443850.010,-1172396.540,375.030,0.081
-443835.370,-1172426.370,358.080,0.078
-443835.020,-1172426.010,358.040,0.073
-443834.650,-1172408.640,358.020,0.095
-443848.820,-1172371.770,374.660,0.073
-443834.560,-1172406.610,356.860,0.007
-443848.770,-1172371.270,374.660,0.064
-443834.580,-1172405.680,356.780,0.014
-443834.500,-1172404.230,363.600,0.086
-443834.730,-1172403.080,366.450,0.070
-443833.850,-1172387.070,365.150,0.100
-443826.720,-1172365.800,370.260,0.071
-443826.720,-1172357.790,359.220,0.044
-443826.390,-1172351.730,370.130,0.075
-443825.830,-1172332.470,369.990,0.050
-443835.190,-1172424.230,354.240,0.058
-443825.450,-1172346.640,346.870,0.099
-443850.600,-1172423.950,374.430,0.093
-443835.760,-1172430.620,372.280,0.014
-443835.550,-1172428.390,358.160,0.042
-443835.220,-1172426.040,365.190,0.041
-443835.310,-1172426.390,358.050,0.078
-443835.490,-1172422.780,372.360,0.017
-443834.450,-1172406.620,356.730,0.007
-443834.710,-1172406.400,371.840,0.084
-443834.720,-1172403.030,366.470,0.070
-443834.240,-1172399.140,365.190,0.030
-443849.060,-1172379.120,374.350,0.082
-443826.480,-1172361.060,369.780,0.058
-443826.920,-1172357.880,359.280,0.044
-443733.790,-1172427.730,360.750,0.083
