-443755.76,-1172311.80,354.36
-443756.10,-1172312.01,354.40
-443756.22,-1172311.70,354.40
-443755.83,-1172313.50,354.37
-443755.95,-1172313.21,354.37
-443756.07,-1172312.90,354.38
-443756.19,-1172312.61,354.39
-443756.30,-1172312.32,354.41
-443756.43,-1172312.00,354.41
-443756.55,-1172311.70,354.42
-443756.23,-1172313.27,354.40
-443756.34,-1172312.98,354.40
-443756.46,-1172312.69,354.41
-443756.58,-1172312.38,354.42
-443756.69,-1172312.09,354.42
-443756.81,-1172311.80,354.43
-443756.22,-1172314.41,354.39
-443756.34,-1172314.09,354.40
-443756.46,-1172313.78,354.40
-443756.59,-1172313.48,354.41
-443756.71,-1172313.18,354.42
-443756.83,-1172312.86,354.42
-443756.94,-1172312.59,354.43
-443757.06,-1172312.28,354.45
-443757.19,-1172311.96,354.47
-443757.30,-1172311.69,354.48
-443757.41,-1172311.41,354.49
-443756.39,-1172315.13,354.39
-443756.51,-1172314.81,354.40
-443756.63,-1172314.51,354.41
-443756.75,-1172314.22,354.42
-443756.86,-1172313.94,354.43
-443756.98,-1172313.63,354.43
-443757.10,-1172313.32,354.44
-443757.22,-1172313.03,354.46
-443757.34,-1172312.73,354.47
-443757.47,-1172312.41,354.49
-443757.59,-1172312.09,354.50
-443757.70,-1172311.82,354.51
-443757.83,-1172311.50,354.52
-443756.53,-1172315.73,354.39
-443756.64,-1172315.45,354.40
-443756.76,-1172315.15,354.41
-443756.89,-1172314.83,354.42
-443757.00,-1172314.54,354.43
-443757.13,-1172314.22,354.43
-443757.26,-1172313.90,354.44
-443757.38,-1172313.60,354.46
-443757.49,-1172313.31,354.47
-443757.61,-1172313.02,354.49
-443757.72,-1172312.73,354.50
-443757.84,-1172312.42,354.51
-443757.96,-1172312.12,354.52
-443758.08,-1172311.82,354.54
-443758.21,-1172311.50,354.55
-443756.66,-1172316.35,354.39
-443756.78,-1172316.05,354.40
-443756.89,-1172315.77,354.41
-443757.01,-1172315.46,354.42
-443757.13,-1172315.17,354.42
-443757.25,-1172314.86,354.43
-443757.37,-1172314.55,354.44
-443757.48,-1172314.27,354.46
-443757.60,-1172313.97,354.46
-443757.72,-1172313.66,354.49
-443757.84,-1172313.36,354.50
-443757.97,-1172313.05,354.51
-443758.09,-1172312.74,354.53
-443758.22,-1172312.42,354.55
