-443711.39,-1172322.10,361.83
-443712.49,-1172322.00,361.80
-443712.62,-1172321.96,361.82
-443712.78,-1172321.94,361.82
-443713.07,-1172321.87,361.84
-443713.65,-1172321.85,361.81
-443714.73,-1172321.70,361.81
-443715.21,-1172321.70,361.78
-443715.53,-1172321.66,361.78
-443716.03,-1172321.60,361.78
-443716.33,-1172321.66,361.72
-443716.73,-1172322.58,361.16
-443716.67,-1172322.67,361.11
-443716.61,-1172322.77,361.06
-443716.18,-1172322.77,361.09
-443716.11,-1172322.79,361.08
-443715.53,-1172322.97,361.02
-443714.33,-1172323.16,361.00
-443713.62,-1172323.09,361.09
-443712.82,-1172323.23,361.07
-443712.43,-1172323.29,361.06
-443711.68,-1172323.39,361.06
-443711.31,-1172323.34,361.12
-443710.51,-1172323.42,361.13
-443710.15,-1172323.42,361.16
-443709.60,-1172323.59,361.10
-443709.38,-1172323.61,361.10
-443708.98,-1172323.58,361.15
-443708.47,-1172323.58,361.19
-443707.74,-1172323.68,361.19
-443707.17,-1172323.75,361.19
-443706.68,-1172323.86,361.16
-443706.42,-1172323.59,361.33
-443706.10,-1172323.25,361.56
-443706.53,-1172322.62,361.89
-443706.98,-1172322.54,361.90
-443707.68,-1172322.47,361.89
-443708.23,-1172322.43,361.87
-443709.12,-1172322.33,361.87
-443709.27,-1172322.31,361.86
-443709.53,-1172322.30,361.85
-443710.11,-1172322.23,361.85
-443710.51,-1172322.13,361.88
-443710.73,-1172322.09,361.88

