-443706.74,-1172395.10,359.66
-443706.71,-1172396.37,359.92
-443706.82,-1172396.09,359.86
-443706.94,-1172395.79,359.79
-443707.07,-1172395.47,359.72
-443707.18,-1172395.19,359.68
-443707.29,-1172394.90,359.65
-443706.75,-1172396.97,360.10
-443706.86,-1172396.68,360.00
-443706.98,-1172396.40,359.92
-443707.10,-1172396.09,359.86
-443707.21,-1172395.81,359.77
-443707.45,-1172395.22,359.69
-443707.56,-1172394.94,359.64
-443706.63,-1172398.07,360.40
-443706.76,-1172397.76,360.31
-443706.88,-1172397.45,360.22
-443707.00,-1172397.16,360.13
-443707.11,-1172396.88,360.08
-443707.23,-1172396.57,359.98
-443707.47,-1172395.98,359.83
-443707.58,-1172395.70,359.75
-443707.70,-1172395.40,359.71
-443707.81,-1172395.12,359.67
-443706.70,-1172398.40,360.52
-443706.81,-1172398.12,360.43
-443706.93,-1172397.84,360.33
-443707.05,-1172397.54,360.26
-443707.17,-1172397.24,360.17
-443707.29,-1172396.95,360.09
-443707.41,-1172396.64,360.01
-443707.65,-1172396.04,359.84
-443707.77,-1172395.75,359.77
-443707.89,-1172395.44,359.71
-443708.00,-1172395.16,359.66
-443706.77,-1172399.32,360.80
-443706.87,-1172399.05,360.69
-443707.00,-1172398.73,360.60
-443707.12,-1172398.43,360.51
-443707.24,-1172398.15,360.43
-443707.36,-1172397.84,360.35
-443707.49,-1172397.52,360.25
-443707.60,-1172397.24,360.17
-443707.95,-1172396.37,359.92
-443708.07,-1172396.07,359.84
-443708.18,-1172395.79,359.77
-443708.31,-1172395.48,359.72
-443708.43,-1172395.17,359.67
-443706.82,-1172400.08,360.93
-443706.93,-1172399.79,360.91
-443707.05,-1172399.50,360.83
-443707.17,-1172399.19,360.74
-443707.28,-1172398.91,360.65
-443707.41,-1172398.60,360.57
-443707.52,-1172398.32,360.47
-443707.87,-1172397.44,360.22
-443708.00,-1172397.13,360.13
-443708.12,-1172396.83,360.04
-443708.24,-1172396.52,359.95
-443708.36,-1172396.22,359.88
-443708.48,-1172395.93,359.79
-443708.59,-1172395.65,359.75
-443708.70,-1172395.37,359.70
-443707.04,-1172400.42,360.94
-443707.27,-1172399.84,360.92
-443707.39,-1172399.55,360.84
-443707.51,-1172399.25,360.75
-443707.61,-1172398.98,360.65
-443707.73,-1172398.68,360.58
-443707.85,-1172398.38,360.49
-443707.96,-1172398.11,360.42
-443708.08,-1172397.81,360.35
-443708.20,-1172397.52,360.24
-443708.32,-1172397.21,360.16
-443708.45,-1172396.90,360.06
-443708.56,-1172396.63,360.00
-443708.67,-1172396.34,359.92
-443708.79,-1172396.03,359.81
-443708.91,-1172395.73,359.75
-443709.03,-1172395.43,359.72
-443709.16,-1172395.12,359.66
-443707.33,-1172400.46,360.94
-443707.46,-1172400.16,360.94
-443707.57,-1172399.87,360.91
-443707.69,-1172399.56,360.83
-443707.81,-1172399.27,360.75
-443707.93,-1172398.97,360.65
-443708.04,-1172398.68,360.58
-443708.16,-1172398.41,360.49
-443708.38,-1172397.83,360.35
-443708.51,-1172397.53,360.25
-443708.73,-1172396.96,360.07
-443708.86,-1172396.65,359.98
-443709.22,-1172395.76,359.76
-443709.33,-1172395.48,359.73
-443709.44,-1172395.19,359.67
-443709.79,-1172396.55,359.97
-443709.89,-1172396.28,359.89
-443710.02,-1172395.97,359.81
-443710.13,-1172395.68,359.74
-443710.25,-1172395.40,359.70
