-443801.71,-1172330.51,351.42
-443801.30,-1172330.70,351.39
-443801.43,-1172330.39,351.40
-443801.55,-1172330.08,351.41
-443801.67,-1172329.77,351.42
-443800.80,-1172331.11,351.38
-443800.92,-1172330.78,351.38
-443801.04,-1172330.48,351.39
-443801.16,-1172330.19,351.39
-443801.27,-1172329.90,351.40
-443801.39,-1172329.60,351.41
-443801.51,-1172329.30,351.42
-443801.63,-1172328.99,351.42
-443801.50,-1172328.43,351.42
-443801.62,-1172328.14,351.43
-443800.54,-1172330.88,351.36
-443800.67,-1172330.57,351.37
-443800.79,-1172330.25,351.38
-443800.90,-1172329.97,351.38
-443801.02,-1172329.65,351.39
-443801.15,-1172329.34,351.41
-443801.27,-1172329.04,351.41
-443801.38,-1172328.75,351.42
-443800.06,-1172330.83,351.33
-443800.18,-1172330.53,351.34
-443800.30,-1172330.21,351.35
-443800.41,-1172329.92,351.36
-443800.53,-1172329.61,351.37
-443800.64,-1172329.34,351.37
-443800.77,-1172329.01,351.38
-443800.89,-1172328.72,351.40
-443801.00,-1172328.43,351.41
-443801.11,-1172328.13,351.41
-443801.23,-1172327.85,351.42
-443801.46,-1172327.25,351.43
-443799.58,-1172330.98,351.30
-443799.70,-1172330.67,351.31
-443799.93,-1172330.07,351.32
-443800.05,-1172329.79,351.33
-443800.16,-1172329.50,351.33
-443800.28,-1172329.19,351.34
-443800.39,-1172328.90,351.36
-443800.51,-1172328.60,351.38
-443800.63,-1172328.29,351.38
-443800.75,-1172328.00,351.40
-443800.87,-1172327.68,351.41
-443800.99,-1172327.38,351.41
-443801.10,-1172327.09,351.42
-443799.98,-1172328.86,351.33
-443800.10,-1172328.55,351.34
-443800.21,-1172328.27,351.37
-443800.33,-1172327.97,351.38
-443800.46,-1172327.64,351.38
-443800.57,-1172327.35,351.39
-443800.69,-1172327.04,351.40
-443800.82,-1172326.73,351.40
-443800.94,-1172326.41,351.40
-443801.05,-1172326.14,351.41
-443801.16,-1172325.84,351.42
-443799.04,-1172331.26,351.26
-443799.16,-1172330.95,351.28
-443799.27,-1172330.67,351.29
-443799.39,-1172330.37,351.29
-443799.51,-1172330.06,351.30
-443799.63,-1172329.77,351.30
-443799.74,-1172329.47,351.31
-443799.85,-1172329.18,351.32
-443798.83,-1172331.03,351.26
-443798.94,-1172330.75,351.27
-443799.07,-1172330.43,351.27
-443799.19,-1172330.13,351.28
-443799.30,-1172329.83,351.29
-443799.42,-1172329.54,351.29
-443799.54,-1172329.22,351.30
-443799.66,-1172328.92,351.31
-443799.78,-1172328.61,351.33
-443799.90,-1172328.30,351.33
-443800.02,-1172328.00,351.35
-443800.14,-1172327.70,351.37
-443800.25,-1172327.40,351.37
-443800.37,-1172327.12,351.38
-443800.49,-1172326.81,351.38
-443800.61,-1172326.49,351.39
-443800.73,-1172326.19,351.39
-443800.84,-1172325.90,351.41
-443800.97,-1172325.59,351.41
-443801.09,-1172325.27,351.42
-443801.21,-1172324.98,351.43
-443798.55,-1172330.52,351.24
-443798.68,-1172330.20,351.25
-443798.80,-1172329.90,351.25
-443798.92,-1172329.59,351.27
-443799.04,-1172329.28,351.27
-443799.16,-1172328.97,351.29
-443799.27,-1172328.69,351.30
-443799.38,-1172328.41,351.30
-443799.50,-1172328.09,351.32
-443799.74,-1172327.49,351.34
-443799.86,-1172327.19,351.35
-443799.99,-1172326.86,351.36
-443800.11,-1172326.55,351.36
-443800.22,-1172326.27,351.36
-443800.34,-1172325.96,351.37
-443800.46,-1172325.66,351.38
-443800.58,-1172325.35,351.40
-443800.81,-1172324.77,351.41
-443800.93,-1172324.45,351.41
-443798.04,-1172330.87,351.21
-443798.17,-1172330.56,351.22
-443798.28,-1172330.27,351.23
-443798.39,-1172329.98,351.23
-443798.51,-1172329.69,351.24
-443798.63,-1172329.37,351.25
-443798.75,-1172329.06,351.26
-443798.87,-1172328.77,351.27
-443798.99,-1172328.46,351.28
-443799.11,-1172328.15,351.29
-443799.23,-1172327.85,351.30
-443799.34,-1172327.55,351.31
-443799.58,-1172326.95,351.33
-443799.70,-1172326.64,351.33
-443799.81,-1172326.36,351.34
-443799.93,-1172326.06,351.35
-443800.04,-1172325.77,351.36
-443800.16,-1172325.47,351.37
-443800.28,-1172325.17,351.38
-443800.40,-1172324.87,351.40
-443800.51,-1172324.59,351.40
-443800.63,-1172324.27,351.40
-443800.21,-1172324.28,351.37
-443797.62,-1172330.88,351.18
-443797.74,-1172330.59,351.19
-443797.86,-1172330.28,351.20
-443797.98,-1172329.98,351.20
-443798.09,-1172329.68,351.21
-443798.22,-1172329.37,351.23
-443798.34,-1172329.05,351.24
-443798.46,-1172328.75,351.25
-443798.57,-1172328.46,351.26
-443798.69,-1172328.16,351.27
-443798.82,-1172327.84,351.28
-443798.93,-1172327.56,351.29
-443799.04,-1172327.28,351.30
-443799.27,-1172326.67,351.31
-443799.51,-1172326.08,351.31
-443799.62,-1172325.78,351.33
-443799.75,-1172325.47,351.34
-443799.85,-1172325.20,351.35
-443799.98,-1172324.88,351.36
-443800.10,-1172324.56,351.36
-443797.59,-1172330.16,351.19
-443797.71,-1172329.84,351.19
-443797.82,-1172329.57,351.20
-443797.94,-1172329.25,351.21
