-443826.17,-1172351.18,370.82
-443825.93,-1172330.41,371.13
-443826.71,-1172330.29,371.11
-443827.30,-1172330.46,371.05
-443829.04,-1172331.08,370.74
-443830.84,-1172330.98,370.73
-443831.77,-1172331.05,370.73
-443833.24,-1172331.05,370.72
-443834.33,-1172330.97,370.71
-443834.41,-1172330.98,370.71
-443835.54,-1172330.97,370.70
-443836.21,-1172330.83,370.73
-443836.86,-1172330.82,370.72
-443838.64,-1172331.25,370.63
-443838.73,-1172331.50,370.46
-443838.79,-1172332.40,370.48
-443838.77,-1172332.56,370.48
-443838.79,-1172333.66,370.53
-443838.79,-1172334.04,370.53
-443838.67,-1172334.36,370.64
-443839.43,-1172353.73,370.44
-443838.61,-1172355.82,370.69
-443838.68,-1172357.06,370.70
-443838.77,-1172357.50,370.70
-443838.65,-1172358.51,370.70
-443838.85,-1172360.13,370.69
-443838.76,-1172361.35,370.67
-443838.86,-1172363.03,370.68
-443838.83,-1172363.88,370.69
-443838.83,-1172363.96,370.69
-443838.87,-1172364.49,370.71
-443838.98,-1172365.27,370.73
-443838.90,-1172365.78,370.77
-443838.60,-1172366.23,370.81
-443838.36,-1172366.34,370.77
-443837.65,-1172366.35,370.74
-443837.16,-1172366.38,370.73
-443835.88,-1172366.59,370.74
-443835.49,-1172366.55,370.74
-443834.10,-1172366.61,370.75
-443833.32,-1172366.61,370.75
-443833.15,-1172366.63,370.74
-443831.77,-1172366.63,370.73
-443831.18,-1172366.66,370.72
-443830.07,-1172366.72,370.72
-443829.57,-1172366.73,370.72
-443828.53,-1172366.73,370.73
-443827.71,-1172366.66,370.78
-443827.54,-1172366.43,370.77
-443827.44,-1172366.03,370.73
-443827.44,-1172365.77,370.72
-443827.31,-1172364.42,370.73
-443827.32,-1172364.23,370.74
-443827.40,-1172363.48,370.73
-443827.42,-1172363.20,370.74
-443827.35,-1172362.19,370.74
-443827.34,-1172361.90,370.74
-443827.30,-1172360.62,370.74
-443827.31,-1172359.92,370.74
-443827.26,-1172359.36,370.73
-443827.20,-1172358.30,370.72
-443827.06,-1172357.68,370.73
-443827.16,-1172356.11,370.70
-443827.13,-1172354.98,370.69
-443827.10,-1172354.59,370.69
-443827.09,-1172354.07,370.69

